result_id,record_type,source_file,formation,grade3_flag,bond_count,eiketsu_ids,eiketsu_names,eiketsu_internal_ids,bond_ids,bond_names,生命,気合,腕力,耐久力,器用さ,知力,魅力,土属性,水属性,火属性,風属性,stat_status,stat_note,calc_source,calc_formula,duplicate_key,calc_warning,calc_filled_at_step,総合値,total_score,top300_source_file
step174_7_360001,STEP174_REVALIDATED_REPAIRED_7_9_RESULT,jinpo_result_db_7.csv,魚鱗,通常,7,EIK_0067|EIK_0124|EIK_0082|EIK_0103|EIK_0247|EIK_0331,鍋島直茂|黒田官兵衛|山中鹿之介|長野業正|島左近|果心居士,EIK_0067|EIK_0124|EIK_0082|EIK_0103|EIK_0247|EIK_0331,知勇兼備|侍|泰然自若|もののふ|根性の絆|柔能制剛|謀略家,知勇兼備|侍|泰然自若|もののふ|根性の絆|柔能制剛|謀略家,9417,1217,320,401,200,302,173,241,279,272,246,ステータス計算済み,step174: 陣法説明(6).xlsx準拠。発動条件を有効ライン3人・各英傑1因子ずつで再検証し、配置6人合計×因縁倍率で再計算。英傑同一判定は名前ではなくinternal_id基準。,STEP174_REVALIDATED_REPAIRED_NEW_FORMULA,Σ floor(配置6人ステータス合計×発動因縁倍率) → floor(因縁値合算×陣形倍率),魚鱗||通常||7||EIK_0067|EIK_0082|EIK_0103|EIK_0124|EIK_0247|EIK_0331||もののふ|侍|柔能制剛|根性の絆|泰然自若|知勇兼備|謀略家,,step174_validate_repair_7_9,13068,13068,jinpo_result_db_7_part021.csv
step174_7_360002,STEP174_REVALIDATED_REPAIRED_7_9_RESULT,jinpo_result_db_7.csv,魚鱗,通常,7,EIK_0071|EIK_0162|EIK_0256|EIK_0239|EIK_0138|EIK_0315,納涼忍お綾|板部岡江雪斎|魔女ルシア|真田幸村(水練)|原田宗時|馬場信春,EIK_0071|EIK_0162|EIK_0256|EIK_0239|EIK_0138|EIK_0315,能鷹隠爪|技巧伝承|文明開化|流行創出|洒落者の絆|花鳥風月|戦場の華,能鷹隠爪|技巧伝承|文明開化|流行創出|洒落者の絆|花鳥風月|戦場の華,8691,2112,59,73,118,220,611,287,311,278,308,ステータス計算済み,step174: 陣法説明(6).xlsx準拠。発動条件を有効ライン3人・各英傑1因子ずつで再検証し、配置6人合計×因縁倍率で再計算。英傑同一判定は名前ではなくinternal_id基準。,STEP174_REVALIDATED_REPAIRED_NEW_FORMULA,Σ floor(配置6人ステータス合計×発動因縁倍率) → floor(因縁値合算×陣形倍率),魚鱗||通常||7||EIK_0071|EIK_0138|EIK_0162|EIK_0239|EIK_0256|EIK_0315||戦場の華|技巧伝承|文明開化|洒落者の絆|流行創出|能鷹隠爪|花鳥風月,,step174_validate_repair_7_9,13068,13068,jinpo_result_db_7_part021.csv
step174_7_360003,STEP174_REVALIDATED_REPAIRED_7_9_RESULT,jinpo_result_db_7.csv,魚鱗,通常,7,EIK_0082|EIK_0089|EIK_0103|EIK_0298|EIK_0359|EIK_0028,山中鹿之介|村上義清|長野業正|色部勝長|塩屋秋貞|長宗我部元親,EIK_0082|EIK_0089|EIK_0103|EIK_0298|EIK_0359|EIK_0028,勇猛果敢|泰然自若|根性の絆|猛将の絆|侍|もののふ|勇将の絆,勇猛果敢|泰然自若|根性の絆|猛将の絆|侍|もののふ|勇将の絆,9344,1867,628,451,139,0,109,125,140,137,128,ステータス計算済み,step174: 陣法説明(6).xlsx準拠。発動条件を有効ライン3人・各英傑1因子ずつで再検証し、配置6人合計×因縁倍率で再計算。英傑同一判定は名前ではなくinternal_id基準。,STEP174_REVALIDATED_REPAIRED_NEW_FORMULA,Σ floor(配置6人ステータス合計×発動因縁倍率) → floor(因縁値合算×陣形倍率),魚鱗||通常||7||EIK_0028|EIK_0082|EIK_0089|EIK_0103|EIK_0298|EIK_0359||もののふ|侍|勇将の絆|勇猛果敢|根性の絆|泰然自若|猛将の絆,,step174_validate_repair_7_9,13068,13068,jinpo_result_db_7_part021.csv
step174_7_360004,STEP174_REVALIDATED_REPAIRED_7_9_RESULT,jinpo_result_db_7.csv,魚鱗,通常,7,EIK_0082|EIK_0103|EIK_0247|EIK_0246|EIK_0267|EIK_0036,山中鹿之介|長野業正|島左近|竹中半兵衛(知将)|安藤守就|稲葉一鉄,EIK_0082|EIK_0103|EIK_0247|EIK_0246|EIK_0267|EIK_0036,侍|泰然自若|もののふ|根性の絆|柔能制剛|勇猛果敢|猛将の絆,侍|泰然自若|もののふ|根性の絆|柔能制剛|勇猛果敢|猛将の絆,9145,2043,402,370,227,107,113,172,154,164,171,ステータス計算済み,step174: 陣法説明(6).xlsx準拠。発動条件を有効ライン3人・各英傑1因子ずつで再検証し、配置6人合計×因縁倍率で再計算。英傑同一判定は名前ではなくinternal_id基準。,STEP174_REVALIDATED_REPAIRED_NEW_FORMULA,Σ floor(配置6人ステータス合計×発動因縁倍率) → floor(因縁値合算×陣形倍率),魚鱗||通常||7||EIK_0036|EIK_0082|EIK_0103|EIK_0246|EIK_0247|EIK_0267||もののふ|侍|勇猛果敢|柔能制剛|根性の絆|泰然自若|猛将の絆,,step174_validate_repair_7_9,13068,13068,jinpo_result_db_7_part021.csv
step174_7_360005,STEP174_REVALIDATED_REPAIRED_7_9_RESULT,jinpo_result_db_7.csv,魚鱗,通常,7,EIK_0082|EIK_0103|EIK_0247|EIK_0308|EIK_0170|EIK_0095,山中鹿之介|長野業正|島左近|朝倉景鏡|遠山景任|柳生宗矩,EIK_0082|EIK_0103|EIK_0247|EIK_0308|EIK_0170|EIK_0095,侍|泰然自若|もののふ|根性の絆|柔能制剛|謀略家|知勇兼備,侍|泰然自若|もののふ|根性の絆|柔能制剛|謀略家|知勇兼備,9286,1216,368,411,231,263,182,264,269,289,289,ステータス計算済み,step174: 陣法説明(6).xlsx準拠。発動条件を有効ライン3人・各英傑1因子ずつで再検証し、配置6人合計×因縁倍率で再計算。英傑同一判定は名前ではなくinternal_id基準。,STEP174_REVALIDATED_REPAIRED_NEW_FORMULA,Σ floor(配置6人ステータス合計×発動因縁倍率) → floor(因縁値合算×陣形倍率),魚鱗||通常||7||EIK_0082|EIK_0095|EIK_0103|EIK_0170|EIK_0247|EIK_0308||もののふ|侍|柔能制剛|根性の絆|泰然自若|知勇兼備|謀略家,,step174_validate_repair_7_9,13068,13068,jinpo_result_db_7_part021.csv
step174_7_360006,STEP174_REVALIDATED_REPAIRED_7_9_RESULT,jinpo_result_db_7.csv,魚鱗,通常,7,EIK_0082|EIK_0103|EIK_0247|EIK_0331|EIK_0246|EIK_0148,山中鹿之介|長野業正|島左近|果心居士|竹中半兵衛(知将)|斎藤道三,EIK_0082|EIK_0103|EIK_0247|EIK_0331|EIK_0246|EIK_0148,侍|泰然自若|もののふ|根性の絆|柔能制剛|謀略家|知勇兼備,侍|泰然自若|もののふ|根性の絆|柔能制剛|謀略家|知勇兼備,9365,1216,324,418,188,292,177,261,255,288,284,ステータス計算済み,step174: 陣法説明(6).xlsx準拠。発動条件を有効ライン3人・各英傑1因子ずつで再検証し、配置6人合計×因縁倍率で再計算。英傑同一判定は名前ではなくinternal_id基準。,STEP174_REVALIDATED_REPAIRED_NEW_FORMULA,Σ floor(配置6人ステータス合計×発動因縁倍率) → floor(因縁値合算×陣形倍率),魚鱗||通常||7||EIK_0082|EIK_0103|EIK_0148|EIK_0246|EIK_0247|EIK_0331||もののふ|侍|柔能制剛|根性の絆|泰然自若|知勇兼備|謀略家,,step174_validate_repair_7_9,13068,13068,jinpo_result_db_7_part021.csv
step174_7_360007,STEP174_REVALIDATED_REPAIRED_7_9_RESULT,jinpo_result_db_7.csv,魚鱗,通常,7,EIK_0082|EIK_0247|EIK_0103|EIK_0036|EIK_0181|EIK_0239,山中鹿之介|島左近|長野業正|稲葉一鉄|本多忠勝|真田幸村(水練),EIK_0082|EIK_0247|EIK_0103|EIK_0036|EIK_0181|EIK_0239,侍|もののふ|泰然自若|根性の絆|勇猛果敢|猛将の絆|武芸の絆,侍|もののふ|泰然自若|根性の絆|勇猛果敢|猛将の絆|武芸の絆,9228,1984,588,388,203,0,106,135,148,148,140,ステータス計算済み,step174: 陣法説明(6).xlsx準拠。発動条件を有効ライン3人・各英傑1因子ずつで再検証し、配置6人合計×因縁倍率で再計算。英傑同一判定は名前ではなくinternal_id基準。,STEP174_REVALIDATED_REPAIRED_NEW_FORMULA,Σ floor(配置6人ステータス合計×発動因縁倍率) → floor(因縁値合算×陣形倍率),魚鱗||通常||7||EIK_0036|EIK_0082|EIK_0103|EIK_0181|EIK_0239|EIK_0247||もののふ|侍|勇猛果敢|根性の絆|武芸の絆|泰然自若|猛将の絆,,step174_validate_repair_7_9,13068,13068,jinpo_result_db_7_part021.csv
step174_7_360008,STEP174_REVALIDATED_REPAIRED_7_9_RESULT,jinpo_result_db_7.csv,魚鱗,通常,7,EIK_0082|EIK_0247|EIK_0103|EIK_0274|EIK_0194|EIK_0354,山中鹿之介|島左近|長野業正|海北綱親|真田幸村(新星)|北条綱成,EIK_0082|EIK_0247|EIK_0103|EIK_0274|EIK_0194|EIK_0354,侍|もののふ|泰然自若|根性の絆|勇猛果敢|武芸の絆|猛将の絆,侍|もののふ|泰然自若|根性の絆|勇猛果敢|武芸の絆|猛将の絆,9278,1947,591,392,200,0,112,128,133,145,142,ステータス計算済み,step174: 陣法説明(6).xlsx準拠。発動条件を有効ライン3人・各英傑1因子ずつで再検証し、配置6人合計×因縁倍率で再計算。英傑同一判定は名前ではなくinternal_id基準。,STEP174_REVALIDATED_REPAIRED_NEW_FORMULA,Σ floor(配置6人ステータス合計×発動因縁倍率) → floor(因縁値合算×陣形倍率),魚鱗||通常||7||EIK_0082|EIK_0103|EIK_0194|EIK_0247|EIK_0274|EIK_0354||もののふ|侍|勇猛果敢|根性の絆|武芸の絆|泰然自若|猛将の絆,,step174_validate_repair_7_9,13068,13068,jinpo_result_db_7_part021.csv
step174_7_360009,STEP174_REVALIDATED_REPAIRED_7_9_RESULT,jinpo_result_db_7.csv,魚鱗,通常,7,EIK_0091|EIK_0094|EIK_0387|EIK_0156|EIK_0020|EIK_0001,豊臣秀次|金森長近|朝倉義景(八雷)|前田慶次|北条氏照(剛柔)|豊臣秀長,EIK_0091|EIK_0094|EIK_0387|EIK_0156|EIK_0020|EIK_0001,山紫水明|文化人の絆|文明開化|柔能制剛|知将の絆|技巧伝承|立役者,山紫水明|文化人の絆|文明開化|柔能制剛|知将の絆|技巧伝承|立役者,9590,0,0,25,403,639,247,569,535,525,535,ステータス計算済み,step174: 陣法説明(6).xlsx準拠。発動条件を有効ライン3人・各英傑1因子ずつで再検証し、配置6人合計×因縁倍率で再計算。英傑同一判定は名前ではなくinternal_id基準。,STEP174_REVALIDATED_REPAIRED_NEW_FORMULA,Σ floor(配置6人ステータス合計×発動因縁倍率) → floor(因縁値合算×陣形倍率),魚鱗||通常||7||EIK_0001|EIK_0020|EIK_0091|EIK_0094|EIK_0156|EIK_0387||山紫水明|技巧伝承|文化人の絆|文明開化|柔能制剛|知将の絆|立役者,,step174_validate_repair_7_9,13068,13068,jinpo_result_db_7_part021.csv
step174_7_360010,STEP174_REVALIDATED_REPAIRED_7_9_RESULT,jinpo_result_db_7.csv,魚鱗,通常,7,EIK_0091|EIK_0308|EIK_0247|EIK_0103|EIK_0101|EIK_0096,豊臣秀次|朝倉景鏡|島左近|長野業正|山県昌景(泰然)|大久保忠世,EIK_0091|EIK_0308|EIK_0247|EIK_0103|EIK_0101|EIK_0096,柔能制剛|謀略家|侍|もののふ|根性の絆|泰然自若|知勇兼備,柔能制剛|謀略家|侍|もののふ|根性の絆|泰然自若|知勇兼備,9353,1201,325,420,209,278,185,267,270,280,280,ステータス計算済み,step174: 陣法説明(6).xlsx準拠。発動条件を有効ライン3人・各英傑1因子ずつで再検証し、配置6人合計×因縁倍率で再計算。英傑同一判定は名前ではなくinternal_id基準。,STEP174_REVALIDATED_REPAIRED_NEW_FORMULA,Σ floor(配置6人ステータス合計×発動因縁倍率) → floor(因縁値合算×陣形倍率),魚鱗||通常||7||EIK_0091|EIK_0096|EIK_0101|EIK_0103|EIK_0247|EIK_0308||もののふ|侍|柔能制剛|根性の絆|泰然自若|知勇兼備|謀略家,,step174_validate_repair_7_9,13068,13068,jinpo_result_db_7_part021.csv
